240724195120337 ThreadServer.run()	INFO: (0) > Thread waiting for new client....
240724195131529 ThreadServer.run()	INFO: (0) > Thread Accepting connection >
240724195131533 Request.getData()	INFO: (0) request: [POST /sendSMTP HTTP/1.1, Host: localhost:1000, Connection: keep-alive, Content-Length: 144, sec-ch-ua: "Not/A)Brand";v="8", "Chromium";v="126", "Google Chrome";v="126", sec-ch-ua-platform: "Windows", sec-ch-ua-mobile: ?0, User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36, Content-Type: text/experiment; charset=UTF-8, Accept: */*, Origin: http://localhost:1000, Sec-Fetch-Site: same-origin, Sec-Fetch-Mode: cors, Sec-Fetch-Dest: empty, Referer: http://localhost:1000/, Accept-Encoding: gzip, deflate, br, zstd, Accept-Language: es-US,es;q=0.9,es-419;q=0.8,en;q=0.7, "from:curso_cc8@abc.com;|;to:correo_externo@galileo.edu, test@test.ug, ;|;subject:Lab 03 - SMTP;|;body:asdfasdf\nabc\n\ncon enters... . . ..;|;"]
240724195131551 Response.sendData()	INFO: SERVER START?: true
240724195131552 Response.sendData()	INFO: (0) HTTP_request.getLast() : "from:curso_cc8@abc.com;|;to:correo_externo@galileo.edu, test@test.ug, ;|;subject:Lab 03 - SMTP;|;body:asdfasdf\nabc\n\ncon enters... . . ..;|;"
240724195131553 Response.sendData()	INFO: DENTRO DE APPLICATION
240724195131554 Response.sendData()	INFO: from:curso_cc8@abc.com
240724195131556 Response.sendData()	INFO: to:correo_externo@galileo.edu, test@test.ug, 
240724195131557 Response.sendData()	INFO: subject:Lab 03 - SMTP
240724195131557 Response.sendData()	INFO: body:asdfasdf\nabc\n\ncon enters... . . ..
240724195131558 Response.sendData()	INFO: POST PAIRS MAP: {from=curso_cc8@abc.com, to=correo_externo@galileo.edu, test@test.ug, , subject=Lab 03 - SMTP, body=asdfasdf\nabc\n\ncon enters... . . ..}
240724195131559 Response.sendData()	INFO: POST PAIRS KEYS: [from, to, subject, body]
