240904165905727 Main.main()	INFO: Textos de Don Quijote: 
240904165905738 Main.main()	INFO:  (14 caracteres) : En un lugar de
240904165905739 Main.main()	INFO:  (35 caracteres) : la Mancha, de cuyo nombre no quiero
240904165905740 Main.main()	INFO:  (57 caracteres) : acordarme, no ha mucho tiempo que vivía un hidalgo de los
240904165905740 Main.main()	INFO:  (11 caracteres) : de lanza en
240904165905740 Main.main()	INFO:  (46 caracteres) : astillero, adarga antigua, rocín flaco y galgo
240904165905741 Main.main()	INFO:  (61 caracteres) : corredor. Una olla de algo más vaca que carnero, salpicón las
240904165905742 Main.main()	INFO:  (72 caracteres) : más noches, duelos y quebrantos los sábados, lentejas los viernes, algún
240904165905742 Main.main()	INFO:  (25 caracteres) : palomino de añadidura los
240904165905743 Main.main()	INFO:  (60 caracteres) : domingos, consumían las tres partes de su hacienda. El resto
240904165905743 Main.main()	INFO:  (20 caracteres) : della concluían sayo
240904165905744 Main.main()	INFO:  (64 caracteres) : de velarte, calzas de velludo para las fiestas con sus pantuflos
240904165905744 Main.main()	INFO:  (30 caracteres) : de lo mismo, los días de entre
240904165905744 Main.main()	INFO:  (17 caracteres) : semana se honraba
240904165905745 Main.main()	INFO:  (42 caracteres) : con su vellori de lo más fino. Tenía en su
240904165905745 Main.main()	INFO:  (40 caracteres) : casa una ama que pasaba de los cuarenta,
240904165905746 Main.main()	INFO:  (42 caracteres) : y una sobrina que no llegaba a los veinte,
240904165905746 Main.main()	INFO:  (20 caracteres) : y un mozo de campo y
240904165905746 Main.main()	INFO:  (58 caracteres) : plaza, que así ensillaba el rocín como tomaba la podadera.
240904165905747 Main.main()	INFO:  (15 caracteres) : Frisaba la edad
240904165905748 Main.main()	INFO:  (18 caracteres) : de nuestro hidalgo
240904165905749 Main.main()	INFO:  (53 caracteres) : con los cincuenta años, era de complexión recia, seco
240904165905749 Main.main()	INFO:  (46 caracteres) : de carnes, enjuto de rostro; gran madrugador y
240904165905749 Main.main()	INFO:  (35 caracteres) : amigo de la caza. Quieren decir que
240904165905750 Main.main()	INFO:  (31 caracteres) : tenía el sobrenombre de Quijada
240904165905750 Main.main()	INFO:  (44 caracteres) : o Quesada (que en esto hay alguna diferencia
240904165905751 Main.main()	INFO:  (24 caracteres) : en los autores que deste
240904165905751 Main.main()	INFO:  (37 caracteres) : caso escriben), aunque por conjeturas
240904165905751 Main.main()	INFO:  (32 caracteres) : verosímiles se deja entender que
240904165905752 Main.main()	INFO:  (40 caracteres) : se llama Quijana; pero esto importa poco
