241008140922235 NTPClient.main()	INFO: Hello, CLIENT NTP!


241008140923370 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008140923370 NTPClient.main()	INFO: Server: time.asdfsdf.com
241008140923375 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008140923376 NTPClient.main()	INFO: Version Number: 3 (011)
241008140923377 NTPClient.main()	INFO: Mode: 3 (011)
241008140923379 NTPClient.main()	INFO: Stratum: 0
241008140923380 NTPClient.main()	INFO: Poll Interval: 10
241008140923380 NTPClient.main()	INFO: Precision: -10
241008140923381 NTPClient.main()	INFO: ============================================================

241008140923383 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008140928393 NTPClient.main()	WARNING: El servidor tardó mucho en responder. Cambiando de servidor.
241008140928394 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
241008140928395 NTPClient.main()	INFO: Server: time.google.com
241008140928395 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008140928396 NTPClient.main()	INFO: Version Number: 3 (011)
241008140928396 NTPClient.main()	INFO: Mode: 3 (011)
241008140928397 NTPClient.main()	INFO: Stratum: 0
241008140928397 NTPClient.main()	INFO: Poll Interval: 10
241008140928397 NTPClient.main()	INFO: Precision: -10
241008140928398 NTPClient.main()	INFO: ============================================================

241008140928399 NTPClient.main()	INFO: Paquete NTP enviado: 1b000af60000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
241008140928455 NTPClient.main()	INFO: time.google.com > 1c010aec0000000000000005474f4f47eab00ff8ccd6990a0000000000000000eab00ff8ccd6990beab00ff8ccd6990d
241008140928456 NTPClient.main()	INFO: ===== RESPUESTA RECIBIDA: =====
241008140928456 NTPClient.main()	INFO: Server: time.google.com
241008140928457 NTPClient.main()	INFO: Leap Indicator: 0 (00)
241008140928458 NTPClient.main()	INFO: Version Number: 3 (011)
241008140928460 NTPClient.main()	INFO: Mode: 4 (100)
241008140928460 NTPClient.main()	INFO: Stratum: 1
241008140928461 NTPClient.main()	INFO: Poll Interval: 10
241008140928462 NTPClient.main()	INFO: Precision: -20
241008140928462 NTPClient.main()	INFO: Root Delay: 0
241008140928463 NTPClient.main()	INFO: Root Dispersion: 5
241008140928464 NTPClient.main()	INFO: Reference ID: 474f4f47
241008140928464 NTPClient.main()	INFO: Reference Timestamp: eab00ff8ccd6990a
241008140928465 NTPClient.main()	INFO: Origin Timestamp: 0000000000000000
241008140928465 NTPClient.main()	INFO: Receive Timestamp: eab00ff8ccd6990b
241008140928470 NTPClient.main()	INFO: Transmit Timestamp: eab00ff8ccd6990d (3937406968)
241008140928475 NTPClient.main()	INFO: Transmit Timestamp: 3937406968 (2094-10-08T20:09:28)
241008140928476 NTPClient.main()	INFO: ============================================================

241008141120473 NTPClient.main()	INFO: ===== Se enviará paquete NTP con los siguientes valores: =====
